2026-08-31 06:30:16 | INFO | ✓ 103/9000 | Queue: 495 | ✅ https://www.bedbathntable.com.sg/home-decor/home-d...
2026-08-31 06:30:17 | INFO | ✓ 104/9000 | Queue: 496 | ✅ https://www.bedbathntable.com.sg/outdoor/outdoor-h...
2026-08-31 06:30:19 | INFO | ✓ 105/9000 | Queue: 496 | ✅ https://www.bedbathntable.com.sg/home-decor/wall-d...
2026-08-31 06:30:19 | INFO | ✓ 106/9000 | Queue: 496 | ✅ https://www.bedbathntable.com.sg/home-decor/wall-d...
2026-08-31 06:30:21 | INFO | ✓ 107/9000 | Queue: 496 | ✅ https://www.bedbathntable.com.sg/home-decor/wall-d...
2026-08-31 06:30:22 | INFO | ✓ 108/9000 | Queue: 496 | ✅ https://www.bedbathntable.com.sg/home-decor/wall-d...
2026-08-31 06:30:24 | INFO | ✓ 109/9000 | Queue: 496 | ✅ https://www.bedbathntable.com.sg/home-decor/candle...
2026-08-31 06:30:25 | INFO | ✓ 110/9000 | Queue: 496 | ✅ https://www.bedbathntable.com.sg/home-decor/candle...
2026-08-31 06:30:26 | INFO | ✓ 111/9000 | Queue: 497 | ✅ https://www.bedbathntable.com.sg/home-decor/candle...
2026-08-31 06:30:27 | INFO | ✓ 112/9000 | Queue: 497 | ✅ https://www.bedbathntable.com.sg/home-decor/candle...
2026-08-31 06:30:28 | INFO | ✓ 113/9000 | Queue: 498 | ✅ https://www.bedbathntable.com.sg/home-decor/collec...
2026-08-31 06:30:29 | INFO | ✓ 114/9000 | Queue: 500 | ✅ https://www.bedbathntable.com.sg/products/collecti...
2026-08-31 06:30:30 | INFO | ✓ 115/9000 | Queue: 501 | ✅ https://www.bedbathntable.com.sg/home-decor/pet-ac...
2026-08-31 06:30:32 | INFO | ✓ 116/9000 | Queue: 501 | ✅ https://www.bedbathntable.com.sg/products/homeware...
2026-08-31 06:30:36 | INFO | ✓ 117/9000 | Queue: 501 | ✅ https://www.bedbathntable.com.sg/sale/home-decor-s...
2026-08-31 06:30:37 | INFO | ✓ 118/9000 | Queue: 501 | ✅ https://www.bedbathntable.com.sg/blog/how-to-style...
2026-08-31 06:30:39 | INFO | ✓ 119/9000 | Queue: 507 | ✅ https://www.bedbathntable.com.sg/blog/discover-lum...
2026-08-31 06:30:39 | INFO | ✓ 120/9000 | Queue: 507 | ✅ https://www.bedbathntable.com.sg/apparel...
2026-08-31 06:30:41 | INFO | ✓ 121/9000 | Queue: 507 | ✅ https://www.bedbathntable.com.sg/apparel/apparel...
2026-08-31 06:30:42 | INFO | ✓ 122/9000 | Queue: 507 | ✅ https://www.bedbathntable.com.sg/apparel/apparel/p...
2026-08-31 06:30:43 | INFO | ✓ 123/9000 | Queue: 507 | ✅ https://www.bedbathntable.com.sg/apparel/apparel/h...
2026-08-31 06:30:44 | INFO | ✓ 124/9000 | Queue: 507 | ✅ https://www.bedbathntable.com.sg/apparel/apparel/r...
2026-08-31 06:30:46 | INFO | ✓ 125/9000 | Queue: 507 | ✅ https://www.bedbathntable.com.sg/apparel/apparel/s...
2026-08-31 06:30:48 | INFO | ✓ 126/9000 | Queue: 507 | ✅ https://www.bedbathntable.com.sg/apparel/accessori...
2026-08-31 06:30:48 | INFO | ✓ 127/9000 | Queue: 507 | ✅ https://www.bedbathntable.com.sg/apparel/apparel/e...
2026-08-31 06:30:50 | INFO | ✓ 128/9000 | Queue: 507 | ✅ https://www.bedbathntable.com.sg/apparel/accessori...
2026-08-31 06:30:52 | INFO | ✓ 129/9000 | Queue: 536 | ✅ https://www.bedbathntable.com.sg/blog/fall-in-love...
2026-08-31 06:30:53 | INFO | ✓ 130/9000 | Queue: 536 | ✅ https://www.bedbathntable.com.sg/blog/mulberry-sil...
2026-08-31 06:30:55 | INFO | ✓ 131/9000 | Queue: 538 | ✅ https://www.bedbathntable.com.sg/blog/the-must-hav...
2026-08-31 06:30:57 | INFO | ✓ 132/9000 | Queue: 538 | ✅ https://www.bedbathntable.com.sg/sale/apparel-sale...
2026-08-31 06:30:59 | INFO | ✓ 133/9000 | Queue: 538 | ✅ https://www.bedbathntable.com.sg/kids...
2026-08-31 06:31:00 | INFO | ✓ 134/9000 | Queue: 538 | ✅ https://www.bedbathntable.com.sg/kids/kids-bedding...
2026-08-31 06:31:02 | INFO | ✓ 135/9000 | Queue: 538 | ✅ https://www.bedbathntable.com.sg/kids/kids-bedding...
2026-08-31 06:31:04 | INFO | ✓ 136/9000 | Queue: 538 | ✅ https://www.bedbathntable.com.sg/kids/kids-bedding...
2026-08-31 06:31:05 | INFO | ✓ 137/9000 | Queue: 538 | ✅ https://www.bedbathntable.com.sg/kids/kids-bedding...
2026-08-31 06:31:07 | INFO | ✓ 138/9000 | Queue: 538 | ✅ https://www.bedbathntable.com.sg/kids/kids-bedding...
2026-08-31 06:31:08 | INFO | ✓ 139/9000 | Queue: 538 | ✅ https://www.bedbathntable.com.sg/kids/kids-bedding...
